ALARA 2.9.2
Set verbose level to 2.
Opened tree file output/sample3.tree.
	Opened sample3 for input.
Starting problem input processing.
	Reading input.
	Cross-checking input for completeness and self-consistency.


***Please review this schedule hierarchy.!!!!!!!!!!

Schedule 'total':
	pulse: 1 s with 0 s delay pulsed with history pulsed_spec

***End of schedule hierarchy.


	Preprocessing input.
Starting problem solution.
	Solved problem.
	Reset binary dump with 5 results per isotope.
Zone output requested:
	Response Units: Bq /cm3
	Break-down by Constituent
	Total Decay Heat [W/cm3]


*** Total Decay Heat [W/cm3] ***
be-11 	2.1658e+04  2.0598e+04  0.0000e+00  1.0660e+03  0.0000e+00  
b-12 	6.4321e+04  8.0514e-11  0.0000e+00  0.0000e+00  0.0000e+00  
b-13 	6.1988e+02  3.1027e-15  0.0000e+00  0.0000e+00  0.0000e+00  
c-14 	2.8280e-10  2.8280e-10  2.8280e-10  2.8280e-10  2.8277e-10  
c-15 	1.9524e+01  1.4711e+01  0.0000e+00  8.2299e-07  0.0000e+00  
n-13 	8.4056e-03  8.3959e-03  0.0000e+00  7.8408e-03  0.0000e+00  
n-16 	2.7409e+04  2.4867e+04  0.0000e+00  7.9640e+01  0.0000e+00  
n-17 	2.4028e+00  2.0348e+00  0.0000e+00  1.1177e-04  0.0000e+00  
n-18 	2.3007e+00  7.6565e-01  0.0000e+00  4.9242e-29  0.0000e+00  
o-19 	1.5552e-01  1.5157e-01  0.0000e+00  3.3159e-02  0.0000e+00  
f-18 	4.9125e-06  4.9120e-06  5.4925e-10  4.8816e-06  0.0000e+00  
f-20 	2.9176e+02  2.7399e+02  0.0000e+00  6.7222e+00  0.0000e+00  
f-21 	2.0813e+00  1.7727e+00  0.0000e+00  1.3720e-04  0.0000e+00  
f-22 	2.4500e-01  2.0805e-01  0.0000e+00  1.3468e-05  0.0000e+00  
ne-23 	5.0154e+01  4.9228e+01  0.0000e+00  1.6397e+01  0.0000e+00  
ne-24 	4.8409e-02  4.8244e-02  0.0000e+00  3.9434e-02  0.0000e+00  
na-21 	2.2107e-05  2.1436e-05  0.0000e+00  3.4788e-06  0.0000e+00  
na-22 	4.8299e-08  4.8299e-08  4.8264e-08  4.8299e-08  3.7042e-08  
na-24 	1.8879e+00  1.8900e+00  6.2277e-01  1.8887e+00  0.0000e+00  
na-24m	6.0310e+02  7.5494e-13  0.0000e+00  0.0000e+00  0.0000e+00  
na-25 	8.1605e+00  8.0662e+00  0.0000e+00  4.0613e+00  0.0000e+00  
na-26 	7.5540e+01  3.9760e+01  0.0000e+00  1.4266e-15  0.0000e+00  
mg-27 	2.0088e+01  2.0063e+01  0.0000e+00  1.8669e+01  0.0000e+00  
mg-28 	4.2477e-06  4.2477e-06  1.9171e-06  4.2454e-06  0.0000e+00  
mg-29 	2.8913e-08  1.6964e-08  0.0000e+00  3.6932e-22  0.0000e+00  
al-25 	9.9152e-04  9.0031e-04  0.0000e+00  3.0324e-06  0.0000e+00  
al-26 	9.6291e-11  9.6291e-11  9.6291e-11  9.6291e-11  9.6291e-11  
al-26m	4.6865e-01  4.2015e-01  0.0000e+00  6.6715e-04  0.0000e+00  
al-28 	2.7094e+03  2.6954e+03  0.0000e+00  1.9886e+03  0.0000e+00  
al-29 	3.9802e+01  3.9732e+01  0.0000e+00  3.5815e+01  0.0000e+00  
al-30 	2.9397e+02  2.4248e+02  0.0000e+00  2.8258e-03  0.0000e+00  
al-31 	9.8591e-02  3.3379e-02  0.0000e+00  5.9193e-30  0.0000e+00  
si-31 	7.2703e-02  7.2698e-02  1.2758e-04  7.2384e-02  0.0000e+00  
si-32 	1.8648e-11  1.8648e-11  1.8648e-11  1.8648e-11  1.8573e-11  
