ALARA 2.9.2
Set verbose level to 2.
Opened tree file output/sample2.tree.
	Opened sample2 for input.
Starting problem input processing.
	Reading input.
	Cross-checking input for completeness and self-consistency.


***Please review this schedule hierarchy.!!!!!!!!!!

Schedule '1_year':
	pulse: 1 y with 0 s delay pulsed with history steady_state

***End of schedule hierarchy.


	Preprocessing input.
Starting problem solution.
	Solved problem.
	Reset binary dump with 5 results per isotope.
Interval output requested:
	Response Units: Bq /cm3
	Number Density [atoms/cm3]
	Specific Activity [Bq/cm3]


*** Number Density [atoms/cm3] ***
ca-42 	2.2202e+16  2.2202e+16  2.2203e+16  2.2203e+16  2.2203e+16  
ca-43 	4.7129e+15  4.7129e+15  4.7129e+15  4.7129e+15  4.7129e+15  
ca-44 	7.0246e+16  7.0246e+16  7.0246e+16  7.0246e+16  7.0246e+16  
ca-45 	5.3120e+13  5.2894e+13  3.4693e+13  1.1266e+13  0.0000e+00  
ca-46 	1.3555e+14  1.3555e+14  1.3555e+14  1.3555e+14  1.3555e+14  
ca-47 	2.9860e+11  2.5631e+11  6.9431e+04  2.1330e-13  0.0000e+00  
ca-48 	6.2916e+15  6.2916e+15  6.2916e+15  6.2916e+15  6.2916e+15  
ca-49 	2.7822e+08  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  
sc-44 	2.5649e+07  8.2387e+06  4.9968e-06  0.0000e+00  0.0000e+00  
sc-44m	1.5019e+08  1.1307e+08  7.0433e-05  0.0000e+00  0.0000e+00  
sc-45 	5.0719e+13  5.0945e+13  6.9146e+13  9.2573e+13  1.0384e+14  
sc-45m	1.5561e+03  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  
sc-46 	4.5301e+11  4.4928e+11  1.9814e+11  2.2328e+10  0.0000e+00  
sc-46m	7.1915e+05  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  
sc-47 	2.2055e+11  2.1739e+11  1.9427e+05  7.0790e-17  0.0000e+00  
sc-48 	1.0112e+10  6.9086e+09  2.8902e-07  0.0000e+00  0.0000e+00  
sc-49 	1.8255e+09  5.6861e+01  0.0000e+00  0.0000e+00  0.0000e+00  
sc-50 	7.9133e+03  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  
sc-50m	1.0425e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  
ti-46 	4.3272e+11  4.3646e+11  6.8760e+11  8.6341e+11  8.8574e+11  
ti-47 	1.7124e+13  1.7169e+13  1.7643e+13  1.7643e+13  1.7643e+13  
ti-48 	1.4594e+12  1.4626e+12  1.4698e+12  1.4698e+12  1.4698e+12  
ti-49 	2.2172e+13  2.2185e+13  2.3194e+13  2.5051e+13  2.7557e+13  
ti-50 	3.2081e+13  3.2081e+13  3.2081e+13  3.2081e+13  3.2081e+13  
ti-51 	5.2492e+07  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  
v-48 	2.3496e+08  2.2498e+08  3.0659e+06  3.2482e+01  0.0000e+00  
v-49 	5.3837e+12  5.3724e+12  4.3637e+12  2.5063e+12  3.3617e-21  
v-50 	1.1102e+14  1.1102e+14  1.1102e+14  1.1102e+14  1.1102e+14  
v-51 	2.6392e+16  2.6392e+16  2.6408e+16  2.6410e+16  2.6410e+16  
v-52 	2.4935e+09  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  
v-53 	5.6606e+06  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  
v-54 	2.4125e+05  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  
cr-49 	9.3070e+06  4.1990e-04  0.0000e+00  0.0000e+00  0.0000e+00  
cr-50 	3.5136e+15  3.5136e+15  3.5136e+15  3.5136e+15  3.5136e+15  
cr-51 	1.7986e+13  1.7541e+13  1.4737e+12  1.9953e+09  0.0000e+00  
cr-52 	6.9927e+16  6.9927e+16  6.9927e+16  6.9927e+16  6.9927e+16  
cr-53 	7.8210e+15  7.8210e+15  7.8210e+15  7.8210e+15  7.8210e+15  
cr-54 	2.2260e+15  2.2261e+15  2.2359e+15  2.2535e+15  2.2756e+15  
cr-55 	1.4819e+07  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  
cr-56 	2.5782e+02  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  
mn-52 	6.5514e+08  5.7876e+08  2.7075e+03  1.6573e-11  0.0000e+00  
mn-52m	6.8721e+05  1.9627e-15  0.0000e+00  0.0000e+00  0.0000e+00  
mn-53 	7.7441e+13  7.7441e+13  7.7441e+13  7.7441e+13  7.7439e+13  
