,Isotope,Parent KZA,Number of Reactions (FENDL2),Number of Reactions (FENDL3)
656,Nb-104,411040,0.0,27.0
657,Nb-105,411050,0.0,27.0
658,Nb-106,411060,0.0,19.0
659,Mo-084,420840,0.0,27.0
660,Mo-085,420850,0.0,26.0
661,Mo-086,420860,0.0,27.0
662,Mo-087,420870,0.0,28.0
663,Mo-088,420880,1.0,31.0
664,Mo-089,420890,1.0,34.0
665,Mo-090,420900,1.0,33.0
666,Mo-091,420910,1.0,33.0
667,Mo-091m,420911,2.0,33.0
668,Mo-092,420920,21.0,32.0
669,Mo-093,420930,22.0,34.0
670,Mo-093m,420931,2.0,35.0
671,Mo-094,420940,22.0,35.0
672,Mo-095,420950,20.0,35.0
673,Mo-096,420960,19.0,36.0
674,Mo-097,420970,19.0,37.0
675,Mo-098,420980,19.0,36.0
676,Mo-099,420990,21.0,36.0
677,Mo-100,421000,20.0,35.0
678,Mo-101,421010,1.0,33.0
679,Mo-102,421020,1.0,27.0
680,Mo-103,421030,1.0,28.0
681,Mo-104,421040,1.0,26.0
682,Mo-105,421050,1.0,27.0
683,Mo-106,421060,0.0,26.0
684,Mo-107,421070,0.0,27.0
685,Mo-108,421080,0.0,26.0
686,Tc-087,430870,0.0,32.0
687,Tc-088,430880,0.0,30.0
688,Tc-088m,430881,0.0,28.0
689,Tc-089,430890,0.0,33.0
690,Tc-089m,430891,0.0,29.0
691,Tc-090,430900,0.0,35.0
692,Tc-090m,430901,0.0,29.0
693,Tc-090n,430902,0.0,32.0
694,Tc-091,430910,0.0,34.0
695,Tc-091m,430911,0.0,34.0
696,Tc-092,430920,1.0,34.0
697,Tc-093,430930,1.0,34.0
698,Tc-093m,430931,2.0,34.0
699,Tc-094,430940,1.0,34.0
700,Tc-094m,430941,1.0,34.0
701,Tc-095,430950,24.0,35.0
702,Tc-095m,430951,24.0,35.0
703,Tc-096,430960,25.0,35.0
704,Tc-096m,430961,2.0,35.0
705,Tc-097,430970,22.0,36.0
706,Tc-097m,430971,22.0,36.0
707,Tc-098,430980,23.0,37.0
708,Tc-099,430990,22.0,36.0
709,Tc-099m,430991,2.0,36.0
710,Tc-100,431000,1.0,36.0
711,Tc-101,431010,1.0,37.0
712,Tc-102,431020,1.0,36.0
713,Tc-102m,431021,2.0,36.0
714,Tc-103,431030,1.0,31.0
715,Tc-104,431040,1.0,31.0
716,Tc-105,431050,1.0,28.0
717,Tc-106,431060,1.0,28.0
718,Tc-107,431070,0.0,26.0
719,Tc-108,431080,0.0,27.0
720,Tc-109,431090,0.0,28.0
721,Ru-088,440880,0.0,34.0
722,Ru-089,440890,0.0,30.0
723,Ru-090,440900,0.0,27.0
724,Ru-091,440910,0.0,30.0
725,Ru-092,440920,0.0,29.0
726,Ru-093,440930,0.0,34.0
727,Ru-093m,440931,0.0,29.0
728,Ru-094,440940,1.0,33.0
729,Ru-095,440950,1.0,33.0
730,Ru-096,440960,19.0,34.0
731,Ru-097,440970,21.0,35.0
732,Ru-098,440980,17.0,35.0
733,Ru-099,440990,19.0,37.0
734,Ru-100,441000,17.0,36.0
735,Ru-101,441010,17.0,36.0
736,Ru-102,441020,18.0,36.0
737,Ru-103,441030,19.0,36.0
738,Ru-104,441040,17.0,35.0
739,Ru-105,441050,19.0,32.0
740,Ru-106,441060,17.0,28.0
